,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
127,CHEMBL318471,O=C1Cc2c([nH]c3c(Cl)cccc23)-c2ccccc2N1,2897.34,intermediate
128,CHEMBL331190,COc1cc2c(cc1OC)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,20.99,active
129,CHEMBL334084,COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C(F)(F)F)cc12,2197.86,intermediate
130,CHEMBL121492,N#CCCc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,33.04,active
131,CHEMBL329063,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(O)c(O)cc2N1,7998.34,intermediate
132,CHEMBL316940,O=C1Cc2c([nH]c3ccccc23)-c2cc(Br)ccc2N1,5000.35,intermediate
133,CHEMBL431634,COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1CC(=O)N2,5395.11,intermediate
134,CHEMBL99803,O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,139958.73,inactive
135,CHEMBL116832,O=C1Cc2c([nH]c3ccccc23)-c2cc(I)ccc2N1,7396.05,intermediate
136,CHEMBL120355,Nc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,29991.63,inactive
137,CHEMBL331783,O=C1Cc2c([nH]c3ncccc23)-c2ccccc2N1,3303.7,intermediate
138,CHEMBL334031,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2sccc2N1,5000.35,intermediate
139,CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,2999.16,intermediate
140,CHEMBL317150,CCc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,23014.42,inactive
141,CHEMBL120137,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ncccc1-3,419758.98,inactive
142,CHEMBL121953,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ncccc1-3,429536.43,inactive
143,CHEMBL120941,NCC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,5495.41,intermediate
144,CHEMBL120078,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cccnc2N1,13001.7,inactive
145,CHEMBL329505,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1,599.79,active
146,CHEMBL316512,O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ccccc2N1,349945.17,inactive
147,CHEMBL331502,SC1=Nc2ccccc2-c2cc(-c3ccccn3)cc(-c3cccs3)c2C1,699842.0,inactive
148,CHEMBL333894,CC(=O)Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,419.76,active
149,CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,39.99,active
150,CHEMBL318911,O=C1Cc2c([nH]c3c(Br)cccc23)-c2ccccc2N1,1698.24,intermediate
151,CHEMBL299756,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,43.95,active
152,CHEMBL98501,Cc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,8994.98,intermediate
153,CHEMBL52551,SC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,7998.34,intermediate
154,CHEMBL328164,CSC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,449779.85,inactive
155,CHEMBL323657,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2sccc2N1,3999.45,intermediate
156,CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,849.18,active
157,CHEMBL95827,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,2098.94,intermediate
158,CHEMBL99423,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccccc12,1000000.0,inactive
159,CHEMBL333006,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2cc(Br)ccc2N1,119.95,active
160,CHEMBL332359,COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C#N)cc12,1000.0,active
161,CHEMBL120497,O=[N+]([O-])c1ccc2[nH]c3c(c2c1)CC(S)=Nc1ccccc1-3,1698.24,intermediate
162,CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,799834.26,inactive
163,CHEMBL419054,N#C/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,9506.05,intermediate
164,CHEMBL333066,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(I)ccc2N1,29991.63,inactive
165,CHEMBL325654,COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2,59.98,active
