,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
252,270,CHEMBL190603,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,460.83200000000005,5.254800000000005,1.0,5.0,4.823908740944319
253,271,CHEMBL192291,CC[C@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,460.83200000000005,5.254800000000005,1.0,5.0,4.823908740944319
254,272,CHEMBL366145,CC(C)[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,474.8590000000001,5.500800000000005,1.0,5.0,4.823908740944319
255,273,CHEMBL192791,CC(C)[C@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,474.8590000000001,5.500800000000005,1.0,5.0,4.301029995663981
256,274,CHEMBL193459,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3)ccc2O1,inactive,440.41400000000004,4.643900000000004,1.0,5.0,4.301029995663981
258,276,CHEMBL189844,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(C(F)(F)F)cc3Cl)ccc2O1,inactive,444.833,5.375000000000004,1.0,4.0,4.823908740944319
262,280,CHEMBL189110,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,inactive,458.86000000000007,5.461000000000005,1.0,4.0,4.823908740944319
263,281,CHEMBL190976,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(CCC(F)(F)F)cc3Cl)ccc2O1,inactive,472.8870000000001,5.851100000000005,1.0,4.0,4.823908740944319
264,282,CHEMBL426269,CC(C)[C@@]1(C(=O)O)Cc2cc(OCCCOc3cc(C(F)(F)F)ccc3Cl)ccc2O1,inactive,458.86000000000007,5.621000000000005,1.0,4.0,4.823908740944319
266,284,CHEMBL363006,CC(C)[C@@]1(C(=O)O)Cc2cc(OCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,460.83200000000005,5.110700000000005,1.0,5.0,4.301029995663981
267,285,CHEMBL191489,CC(C)(C)[C@@]1(C(=O)O)Cc2cc(OCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,474.8590000000001,5.500800000000005,1.0,5.0,4.301029995663981
268,286,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,6.6020599913279625
270,288,CHEMBL363369,CCCc1c(OC(C)(C)C(=O)O)ccc2c(C(F)(F)F)noc12,inactive,331.29,4.041100000000003,1.0,4.0,5.0
272,290,CHEMBL190645,CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OC(C)C(=O)O,inactive,359.34400000000005,4.603500000000004,1.0,4.0,5.0
273,291,CHEMBL364774,CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OC(C)(CC)C(=O)O,inactive,387.39800000000014,5.383700000000005,1.0,4.0,4.823908740944319
275,293,CHEMBL190352,CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OCC(C)(C)C(=O)O,inactive,387.39800000000014,5.2412000000000045,1.0,4.0,4.823908740944319
276,294,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,6.6020599913279625
